time_stamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
12.105,0.0,0.0,0.0,0.0,0.0,0.0
12.506,-38.0,3.0,15.0,16290.0,869.0,-545.0
12.907,-33.0,-8.0,9.0,16305.0,851.0,-500.0
13.308,-47.0,-4.0,8.0,16280.0,854.0,-501.0
13.709,-29.0,-3.0,14.0,16288.0,864.0,-495.0
14.11,-25.0,-15.0,13.0,16284.0,874.0,-493.0
14.511,-35.0,-8.0,5.0,16296.0,869.0,-448.0
14.912,-4433.0,-2392.0,11825.0,17706.0,515.0,-366.0
15.313,-2004.0,7912.0,-5175.0,15518.0,1815.0,1757.0
15.714,-1723.0,3866.0,-4050.0,15906.0,5682.0,7612.0
16.115,-616.0,3354.0,594.0,11986.0,3684.0,8737.0
16.516,-4957.0,5187.0,-2045.0,9863.0,3570.0,12768.0
16.917,-4433.0,3495.0,779.0,6267.0,872.0,15725.0
17.318,-1256.0,5280.0,308.0,2840.0,-1595.0,15528.0
17.719,-1550.0,2655.0,1457.0,-458.0,-4118.0,16247.0
18.12,-2229.0,1989.0,1196.0,-2586.0,-4627.0,14830.0
18.521,-182.0,428.0,274.0,-3249.0,-5595.0,15056.0
18.922,-70.0,-98.0,157.0,-3575.0,-5700.0,14906.0
19.323,31.0,-210.0,-176.0,-3597.0,-5907.0,15044.0
19.724,293.0,-149.0,-184.0,-3319.0,-5421.0,14981.0
20.125,4438.0,-602.0,-5083.0,-3305.0,-5048.0,15373.0
20.526,9518.0,-1742.0,-2742.0,-884.0,392.0,16881.0
20.927,7446.0,-1694.0,-870.0,-745.0,6926.0,14104.0
21.328,6565.0,-778.0,632.0,-1722.0,11756.0,11167.0
21.729,3734.0,-15.0,-230.0,-900.0,14361.0,7234.0
22.13,1497.0,324.0,-325.0,-626.0,16022.0,4314.0
22.531,5880.0,696.0,2409.0,-1782.0,16422.0,1723.0
22.932,4530.0,770.0,-603.0,-829.0,16722.0,-1933.0
23.333,-501.0,74.0,-323.0,-1127.0,16318.0,-2519.0
23.734,-9975.0,-2033.0,147.0,-1410.0,16955.0,2579.0
24.135,-9139.0,-198.0,727.0,-1243.0,12818.0,9942.0
24.536,-8630.0,-415.0,1974.0,-92.0,7967.0,13788.0
24.937,-6475.0,-315.0,1892.0,-74.0,1714.0,16428.0
25.338,-1234.0,1250.0,694.0,-731.0,-1624.0,16304.0
25.739,-2034.0,99.0,630.0,-893.0,-2597.0,17046.0
26.14,-3893.0,-2854.0,-156.0,-1172.0,-3497.0,16505.0
26.541,1221.0,1302.0,-1190.0,173.0,-1861.0,15420.0
26.942,2463.0,2781.0,-1622.0,-1093.0,-3409.0,15773.0
27.343,-173.0,-101.0,-468.0,-722.0,-463.0,16879.0
27.744,-66.0,-83.0,198.0,-1354.0,-2008.0,16299.0
28.145,-1763.0,-1052.0,425.0,-705.0,-2477.0,16266.0
28.546,2477.0,-2512.0,-2361.0,708.0,-2997.0,16226.0
28.947,436.0,1236.0,437.0,396.0,-2059.0,16202.0
